Department,Salary,Year
Engineering Services,"76,126.94",2016
Fire and Rescue Services,"97,360.50",2016
Engineering Services,"85,029.75",2016
Fire and Rescue Services,"91,764.20",2016
Fire and Rescue Services,"107,403.80",2016
Fire and Rescue Services,"93,384.50",2016
Engineering Services,"79,302.31",2016
Engineering Services,"76,006.01",2016
Office of the City Manager,"104,755.75",2016
"Finance, Risk & Supply Chain Mgt","137,088.76",2016
Board of Parks & Recreation,"88,866.15",2016
"Planning, Urban Des & Sustain","101,213.05",2016
"Dev Svcs, Bldg & Licensing","91,936.61",2016
Board of Parks & Recreation,"113,303.70",2016
"IT, Digital Strategy & 311","84,813.99",2016
Vancouver Public Library Board,"90,981.44",2016
Human Resources,"105,039.96",2016
Engineering Services,"85,158.13",2016
Fire and Rescue Services,"114,074.95",2016
Engineering Services,"75,993.21",2016
Engineering Services,"116,780.16",2016
Law Department,"163,643.89",2016
Office of the City Manager,"91,705.99",2016
Engineering Services,"83,116.69",2016
"IT, Digital Strategy & 311","102,530.05",2016
"IT, Digital Strategy & 311","91,189.57",2016
Fire and Rescue Services,"93,093.86",2016
Real Estate & Facilities Mgmt,"116,276.25",2016
Fire and Rescue Services,"93,951.36",2016
Engineering Services,"104,475.35",2016
Board of Parks & Recreation,"75,783.39",2016
Office of the City Manager,"116,276.24",2016
"Dev Svcs, Bldg & Licensing","92,389.50",2016
Community Services,"81,089.50",2016
Engineering Services,"95,612.69",2016
Fire and Rescue Services,"106,803.28",2016
"IT, Digital Strategy & 311","167,314.64",2016
Vancouver Public Library Board,"83,402.44",2016
"Dev Svcs, Bldg & Licensing","79,755.91",2016
Real Estate & Facilities Mgmt,"79,463.53",2016
Engineering Services,"75,262.17",2016
"IT, Digital Strategy & 311","102,471.64",2016
"Finance, Risk & Supply Chain Mgt","144,715.23",2016
Engineering Services,"100,834.52",2016
Fire and Rescue Services,"92,402.98",2016
"Dev Svcs, Bldg & Licensing","100,315.52",2016
"IT, Digital Strategy & 311","124,801.29",2016
"IT, Digital Strategy & 311","100,211.62",2016
Fire and Rescue Services,"95,263.93",2016
"IT, Digital Strategy & 311","102,872.20",2016
"Finance, Risk & Supply Chain Mgt","84,889.95",2016
Fire and Rescue Services,"114,090.72",2016
Fire and Rescue Services,"92,477.31",2016
Real Estate & Facilities Mgmt,"101,721.67",2016
Fire and Rescue Services,"89,778.84",2016
Engineering Services,"154,606.49",2016
Fire and Rescue Services,"94,447.14",2016
"IT, Digital Strategy & 311","102,279.74",2016
Fire and Rescue Services,"95,171.30",2016
"Finance, Risk & Supply Chain Mgt","97,734.85",2016
"Finance, Risk & Supply Chain Mgt","75,029.98",2016
Engineering Services,"84,564.87",2016
"Finance, Risk & Supply Chain Mgt","89,148.78",2016
Engineering Services,"75,664.82",2016
"Dev Svcs, Bldg & Licensing","133,658.29",2016
Real Estate & Facilities Mgmt,"77,665.31",2016
"Dev Svcs, Bldg & Licensing","76,032.86",2016
Fire and Rescue Services,"89,827.33",2016
Community Services,"82,614.50",2016
Law Department,"140,978.60",2016
Board of Parks & Recreation,"84,052.99",2016
Real Estate & Facilities Mgmt,"115,658.15",2016
Fire and Rescue Services,"96,960.86",2016
Fire and Rescue Services,"95,104.55",2016
"Planning, Urban Des & Sustain","99,610.52",2016
Vancouver Public Library Board,"105,078.95",2016
Engineering Services,"110,341.25",2016
Engineering Services,"81,516.40",2016
Fire and Rescue Services,"111,210.90",2016
Fire and Rescue Services,"110,605.43",2016
"Finance, Risk & Supply Chain Mgt","85,801.97",2016
Board of Parks & Recreation,"75,317.45",2016
Fire and Rescue Services,"111,078.45",2016
Office of the City Manager,"275,125.44",2016
Fire and Rescue Services,"94,581.90",2016
Fire and Rescue Services,"107,717.25",2016
"Planning, Urban Des & Sustain","100,834.52",2016
"Dev Svcs, Bldg & Licensing","122,786.10",2016
"IT, Digital Strategy & 311","83,772.06",2016
"IT, Digital Strategy & 311","88,928.85",2016
Engineering Services,"96,010.92",2016
Fire and Rescue Services,"92,054.00",2016
Fire and Rescue Services,"76,123.63",2016
"IT, Digital Strategy & 311","87,868.06",2016
Engineering Services,"83,315.09",2016
"IT, Digital Strategy & 311","75,549.32",2016
"Dev Svcs, Bldg & Licensing","120,174.58",2016
Engineering Services,"83,367.58",2016
Engineering Services,"76,331.10",2016
Fire and Rescue Services,"94,592.69",2016
Community Services,"98,880.64",2016
Fire and Rescue Services,"97,099.74",2016
"IT, Digital Strategy & 311","87,734.72",2016
"IT, Digital Strategy & 311","98,760.16",2016
Law Department,"182,204.98",2016
"Dev Svcs, Bldg & Licensing","100,960.52",2016
City Clerk's Office,"91,933.21",2016
Engineering Services,"110,628.24",2016
"IT, Digital Strategy & 311","90,111.48",2016
Engineering Services,"90,657.92",2016
Fire and Rescue Services,"97,109.48",2016
"IT, Digital Strategy & 311","101,973.45",2016
"IT, Digital Strategy & 311","101,801.56",2016
"IT, Digital Strategy & 311","85,564.95",2016
"Dev Svcs, Bldg & Licensing","89,984.52",2016
"Planning, Urban Des & Sustain","95,731.70",2016
Real Estate & Facilities Mgmt,"82,325.97",2016
"Finance, Risk & Supply Chain Mgt","202,699.78",2016
"IT, Digital Strategy & 311","109,588.69",2016
"IT, Digital Strategy & 311","106,119.03",2016
"Planning, Urban Des & Sustain","84,216.40",2016
Fire and Rescue Services,"94,723.92",2016
"IT, Digital Strategy & 311","103,533.94",2016
"Finance, Risk & Supply Chain Mgt","103,656.35",2016
Fire and Rescue Services,"92,734.82",2016
Fire and Rescue Services,"94,645.66",2016
Fire and Rescue Services,"82,548.62",2016
Fire and Rescue Services,"114,935.52",2016
Fire and Rescue Services,"89,705.26",2016
Fire and Rescue Services,"84,306.20",2016
Fire and Rescue Services,"90,768.02",2016
Fire and Rescue Services,"103,028.65",2016
Fire and Rescue Services,"104,054.20",2016
Fire and Rescue Services,"93,175.62",2016
Fire and Rescue Services,"93,571.42",2016
Fire and Rescue Services,"95,413.90",2016
Fire and Rescue Services,"154,720.12",2016
Engineering Services,"122,703.84",2016
Engineering Services,"81,636.64",2016
Community Services,"136,430.77",2016
Fire and Rescue Services,"93,614.00",2016
Engineering Services,"108,062.40",2016
Law Department,"167,350.99",2016
"Dev Svcs, Bldg & Licensing","79,317.82",2016
"Finance, Risk & Supply Chain Mgt","78,504.93",2016
Real Estate & Facilities Mgmt,"114,326.88",2016
"Dev Svcs, Bldg & Licensing","97,577.28",2016
Real Estate & Facilities Mgmt,"120,905.38",2016
Office of the City Manager,"108,751.86",2016
"Finance, Risk & Supply Chain Mgt","134,433.19",2016
"IT, Digital Strategy & 311","102,529.01",2016
Office of the City Manager,"174,084.90",2016
"IT, Digital Strategy & 311","81,513.18",2016
Engineering Services,"95,258.86",2016
Community Services,"78,831.62",2016
Engineering Services,"86,909.93",2016
Law Department,"167,350.98",2016
Office of the City Manager,"82,135.96",2016
"IT, Digital Strategy & 311","123,522.15",2016
Law Department,"184,728.07",2016
Engineering Services,"99,308.90",2016
"IT, Digital Strategy & 311","85,979.98",2016
Real Estate & Facilities Mgmt,"94,964.66",2016
Vancouver Public Library Board,"78,608.92",2016
"IT, Digital Strategy & 311","77,775.16",2016
"Planning, Urban Des & Sustain","102,438.75",2016
Engineering Services,"116,276.25",2016
Office of the City Manager,"81,318.35",2016
Engineering Services,"82,879.95",2016
Fire and Rescue Services,"89,762.50",2016
"IT, Digital Strategy & 311","102,639.19",2016
"IT, Digital Strategy & 311","84,069.77",2016
"Dev Svcs, Bldg & Licensing","76,926.11",2016
Fire and Rescue Services,"116,074.73",2016
Engineering Services,"81,209.78",2016
Community Services,"232,517.16",2016
"IT, Digital Strategy & 311","85,390.50",2016
Fire and Rescue Services,"93,607.46",2016
Board of Parks & Recreation,"80,393.81",2016
Fire and Rescue Services,"104,550.59",2016
Fire and Rescue Services,"98,635.95",2016
"Finance, Risk & Supply Chain Mgt","85,003.18",2016
"Dev Svcs, Bldg & Licensing","92,062.62",2016
Engineering Services,"82,589.36",2016
Engineering Services,"77,016.52",2016
Engineering Services,"89,448.60",2016
Fire and Rescue Services,"97,787.32",2016
Engineering Services,"78,062.06",2016
Engineering Services,"92,967.98",2016
Engineering Services,"92,704.64",2016
"Finance, Risk & Supply Chain Mgt","85,296.36",2016
Board of Parks & Recreation,"95,723.89",2016
Fire and Rescue Services,"96,495.52",2016
"IT, Digital Strategy & 311","87,785.86",2016
"IT, Digital Strategy & 311","132,332.68",2016
Engineering Services,"117,678.05",2016
"Finance, Risk & Supply Chain Mgt","82,568.40",2016
"Dev Svcs, Bldg & Licensing","92,060.42",2016
Fire and Rescue Services,"85,415.83",2016
Real Estate & Facilities Mgmt,"148,479.32",2016
Fire and Rescue Services,"101,588.72",2016
Engineering Services,"91,519.41",2016
Board of Parks & Recreation,"92,776.64",2016
Engineering Services,"112,763.31",2016
Engineering Services,"96,945.46",2016
Engineering Services,"90,892.73",2016
Engineering Services,"84,518.31",2016
Engineering Services,"143,956.24",2016
Fire and Rescue Services,"96,791.22",2016
Engineering Services,"145,342.25",2016
Fire and Rescue Services,"85,433.11",2016
Fire and Rescue Services,"83,092.83",2016
Board of Parks & Recreation,"88,653.26",2016
Fire and Rescue Services,"87,633.23",2016
Fire and Rescue Services,"91,475.46",2016
Fire and Rescue Services,"103,873.76",2016
"Planning, Urban Des & Sustain","86,376.21",2016
"Planning, Urban Des & Sustain","76,571.55",2016
Engineering Services,"89,848.15",2016
"Planning, Urban Des & Sustain","92,765.77",2016
Vancouver Public Library Board,"85,467.09",2016
"Finance, Risk & Supply Chain Mgt","116,944.64",2016
Fire and Rescue Services,"96,540.37",2016
Human Resources,"97,869.88",2016
"IT, Digital Strategy & 311","101,622.16",2016
Law Department,"96,963.76",2016
Fire and Rescue Services,"106,198.48",2016
Fire and Rescue Services,"95,346.14",2016
Fire and Rescue Services,"97,313.83",2016
Engineering Services,"89,476.01",2016
"Dev Svcs, Bldg & Licensing","90,712.62",2016
Board of Parks & Recreation,"145,329.42",2016
"IT, Digital Strategy & 311","82,405.25",2016
City Clerk's Office,"171,968.22",2016
Engineering Services,"98,438.81",2016
Fire and Rescue Services,"96,816.04",2016
Fire and Rescue Services,"105,540.91",2016
"Dev Svcs, Bldg & Licensing","92,062.62",2016
Engineering Services,"78,737.07",2016
Engineering Services,"78,679.34",2016
Board of Parks & Recreation,"128,486.80",2016
Fire and Rescue Services,"96,182.65",2016
Real Estate & Facilities Mgmt,"78,799.70",2016
Engineering Services,"97,020.97",2016
Board of Parks & Recreation,"78,174.46",2016
Vancouver Public Library Board,"82,683.47",2016
Fire and Rescue Services,"102,720.11",2016
Mayor & City Council,"129,590.58",2016
"Dev Svcs, Bldg & Licensing","78,737.06",2016
"Dev Svcs, Bldg & Licensing","92,767.14",2016
Fire and Rescue Services,"138,519.53",2016
Fire and Rescue Services,"92,645.30",2016
Real Estate & Facilities Mgmt,"103,565.79",2016
"Finance, Risk & Supply Chain Mgt","84,765.89",2016
Engineering Services,"102,535.89",2016
Office of the City Manager,"93,269.35",2016
Engineering Services,"77,104.00",2016
"Planning, Urban Des & Sustain","91,720.96",2016
"Finance, Risk & Supply Chain Mgt","75,664.82",2016
Engineering Services,"78,606.65",2016
Engineering Services,"79,184.00",2016
Board of Parks & Recreation,"129,875.73",2016
Fire and Rescue Services,"113,949.24",2016
Fire and Rescue Services,"110,764.23",2016
Fire and Rescue Services,"90,359.22",2016
Engineering Services,"94,228.26",2016
Real Estate & Facilities Mgmt,"120,893.47",2016
Fire and Rescue Services,"104,352.34",2016
Engineering Services,"142,836.37",2016
Fire and Rescue Services,"143,123.69",2016
Fire and Rescue Services,"93,606.50",2016
Engineering Services,"77,915.25",2016
"Dev Svcs, Bldg & Licensing","85,259.83",2016
"Dev Svcs, Bldg & Licensing","76,733.09",2016
"IT, Digital Strategy & 311","143,163.59",2016
Fire and Rescue Services,"98,028.41",2016
"Finance, Risk & Supply Chain Mgt","76,312.94",2016
Board of Parks & Recreation,"76,653.20",2016
Vancouver Public Library Board,"79,158.76",2016
"Dev Svcs, Bldg & Licensing","83,884.75",2016
Fire and Rescue Services,"114,326.55",2016
Human Resources,"89,815.93",2016
Engineering Services,"80,188.58",2016
Fire and Rescue Services,"96,172.96",2016
"Dev Svcs, Bldg & Licensing","85,438.06",2016
"Finance, Risk & Supply Chain Mgt","81,392.80",2016
"Finance, Risk & Supply Chain Mgt","96,734.27",2016
Engineering Services,"83,571.86",2016
"IT, Digital Strategy & 311","91,358.81",2016
Fire and Rescue Services,"106,485.89",2016
Vancouver Public Library Board,"78,730.75",2016
Fire and Rescue Services,"98,450.06",2016
Vancouver Public Library Board,"95,509.44",2016
Community Services,"100,336.14",2016
Real Estate & Facilities Mgmt,"94,508.89",2016
Engineering Services,"76,561.41",2016
Engineering Services,"79,239.56",2016
Fire and Rescue Services,"86,323.80",2016
Engineering Services,"116,276.28",2016
Engineering Services,"78,737.06",2016
Engineering Services,"101,623.34",2016
"Finance, Risk & Supply Chain Mgt","129,073.29",2016
Fire and Rescue Services,"114,445.03",2016
Office of the City Manager,"115,410.20",2016
Fire and Rescue Services,"116,939.64",2016
Community Services,"114,437.06",2016
Fire and Rescue Services,"118,358.47",2016
"Finance, Risk & Supply Chain Mgt","88,193.89",2016
"Dev Svcs, Bldg & Licensing","93,828.58",2016
Real Estate & Facilities Mgmt,"130,220.25",2016
"IT, Digital Strategy & 311","115,392.55",2016
"IT, Digital Strategy & 311","101,512.54",2016
"Dev Svcs, Bldg & Licensing","123,511.66",2016
"Finance, Risk & Supply Chain Mgt","75,948.26",2016
"IT, Digital Strategy & 311","76,432.05",2016
Fire and Rescue Services,"100,536.28",2016
Community Services,"86,912.80",2016
Fire and Rescue Services,"131,865.79",2016
Fire and Rescue Services,"89,378.34",2016
Law Department,"94,594.51",2016
Office of the City Manager,"82,027.95",2016
Engineering Services,"117,123.10",2016
"Dev Svcs, Bldg & Licensing","91,567.81",2016
Board of Parks & Recreation,"81,345.00",2016
"IT, Digital Strategy & 311","112,649.19",2016
Fire and Rescue Services,"111,899.72",2016
Fire and Rescue Services,"91,508.84",2016
Engineering Services,"82,709.13",2016
Fire and Rescue Services,"93,298.14",2016
Vancouver Public Library Board,"86,277.73",2016
"Dev Svcs, Bldg & Licensing","90,512.81",2016
Engineering Services,"82,538.36",2016
Board of Parks & Recreation,"79,738.24",2016
"Dev Svcs, Bldg & Licensing","91,714.96",2016
Office of the City Manager,"133,549.58",2016
"Planning, Urban Des & Sustain","105,292.45",2016
Board of Parks & Recreation,"78,601.45",2016
Fire and Rescue Services,"116,574.68",2016
Fire and Rescue Services,"100,562.24",2016
"Planning, Urban Des & Sustain","75,664.82",2016
Fire and Rescue Services,"222,788.59",2016
Fire and Rescue Services,"109,189.49",2016
Fire and Rescue Services,"95,619.46",2016
"IT, Digital Strategy & 311","101,896.14",2016
"IT, Digital Strategy & 311","116,276.24",2016
Fire and Rescue Services,"108,312.45",2016
Fire and Rescue Services,"95,129.20",2016
"Planning, Urban Des & Sustain","117,058.59",2016
"Planning, Urban Des & Sustain","77,331.46",2016
Human Resources,"103,046.95",2016
Engineering Services,"116,276.24",2016
Engineering Services,"84,347.38",2016
Board of Parks & Recreation,"92,697.47",2016
"Finance, Risk & Supply Chain Mgt","75,492.07",2016
Community Services,"109,693.82",2016
Fire and Rescue Services,"90,032.18",2016
Engineering Services,"96,300.40",2016
Engineering Services,"99,064.62",2016
"Planning, Urban Des & Sustain","174,231.55",2016
"Planning, Urban Des & Sustain","102,622.75",2016
Fire and Rescue Services,"107,944.55",2016
Office of the City Manager,"113,130.44",2016
Fire and Rescue Services,"88,064.41",2016
Fire and Rescue Services,"96,908.17",2016
Human Resources,"165,771.14",2016
Fire and Rescue Services,"109,496.97",2016
Engineering Services,"111,155.37",2016
Board of Parks & Recreation,"106,897.43",2016
Engineering Services,"111,264.24",2016
Community Services,"79,767.15",2016
Board of Parks & Recreation,"76,290.97",2016
Fire and Rescue Services,"96,845.66",2016
Fire and Rescue Services,"95,277.68",2016
Fire and Rescue Services,"116,509.08",2016
Fire and Rescue Services,"112,054.49",2016
Fire and Rescue Services,"108,764.55",2016
Fire and Rescue Services,"107,091.84",2016
Fire and Rescue Services,"97,715.05",2016
Engineering Services,"85,795.17",2016
Vancouver Public Library Board,"117,496.27",2016
Vancouver Public Library Board,"86,980.42",2016
Fire and Rescue Services,"91,953.30",2016
Vancouver Public Library Board,"92,756.92",2016
"Finance, Risk & Supply Chain Mgt","116,276.26",2016
Fire and Rescue Services,"101,333.89",2016
Fire and Rescue Services,"85,244.75",2016
Fire and Rescue Services,"93,849.74",2016
Engineering Services,"91,605.44",2016
Fire and Rescue Services,"86,883.81",2016
Real Estate & Facilities Mgmt,"78,859.04",2016
Engineering Services,"121,629.84",2016
Engineering Services,"81,046.86",2016
Engineering Services,"76,172.10",2016
Community Services,"84,901.79",2016
Engineering Services,"142,374.49",2016
Office of the City Manager,"85,486.05",2016
"Dev Svcs, Bldg & Licensing","85,234.73",2016
Fire and Rescue Services,"90,809.13",2016
Fire and Rescue Services,"117,593.14",2016
Engineering Services,"82,863.30",2016
"IT, Digital Strategy & 311","107,056.15",2016
Office of the City Manager,"251,408.18",2016
"Dev Svcs, Bldg & Licensing","85,234.74",2016
Engineering Services,"87,817.41",2016
Engineering Services,"107,927.34",2016
"IT, Digital Strategy & 311","82,470.80",2016
"Planning, Urban Des & Sustain","160,557.54",2016
Board of Parks & Recreation,"80,373.09",2016
Board of Parks & Recreation,"77,606.76",2016
Real Estate & Facilities Mgmt,"78,563.90",2016
Engineering Services,"109,598.32",2016
Engineering Services,"111,264.24",2016
Fire and Rescue Services,"93,445.03",2016
Fire and Rescue Services,"114,681.41",2016
Fire and Rescue Services,"153,547.12",2016
Engineering Services,"75,636.46",2016
Fire and Rescue Services,"93,247.38",2016
"IT, Digital Strategy & 311","93,786.80",2016
Engineering Services,"80,533.64",2016
"IT, Digital Strategy & 311","98,064.64",2016
Fire and Rescue Services,"86,844.38",2016
Fire and Rescue Services,"94,790.00",2016
Human Resources,"120,269.92",2016
Fire and Rescue Services,"117,003.77",2016
Fire and Rescue Services,"115,645.17",2016
Fire and Rescue Services,"104,667.76",2016
Fire and Rescue Services,"158,553.44",2016
"Finance, Risk & Supply Chain Mgt","144,246.50",2016
Engineering Services,"89,637.82",2016
Fire and Rescue Services,"93,139.31",2016
Fire and Rescue Services,"82,684.59",2016
Engineering Services,"84,686.03",2016
Fire and Rescue Services,"106,027.22",2016
"IT, Digital Strategy & 311","114,584.06",2016
Fire and Rescue Services,"93,057.46",2016
Engineering Services,"96,135.33",2016
Fire and Rescue Services,"89,174.82",2016
Human Resources,"101,896.14",2016
Community Services,"79,436.76",2016
Fire and Rescue Services,"92,485.74",2016
Fire and Rescue Services,"111,700.70",2016
Engineering Services,"83,682.58",2016
Engineering Services,"94,126.81",2016
"Dev Svcs, Bldg & Licensing","85,234.73",2016
Community Services,"93,450.64",2016
Fire and Rescue Services,"103,672.86",2016
Fire and Rescue Services,"105,873.26",2016
Engineering Services,"126,405.41",2016
Community Services,"100,285.56",2016
Fire and Rescue Services,"124,381.60",2016
"Planning, Urban Des & Sustain","167,748.31",2016
"Dev Svcs, Bldg & Licensing","91,524.18",2016
Fire and Rescue Services,"97,529.32",2016
Real Estate & Facilities Mgmt,"122,044.31",2016
Fire and Rescue Services,"103,452.21",2016
Law Department,"167,350.98",2016
Fire and Rescue Services,"118,366.45",2016
Fire and Rescue Services,"103,948.97",2016
Fire and Rescue Services,"116,198.20",2016
Office of the City Manager,"167,319.89",2016
Engineering Services,"76,522.88",2016
Law Department,"147,306.70",2016
Human Resources,"221,036.91",2016
"Finance, Risk & Supply Chain Mgt","115,069.23",2016
Engineering Services,"92,120.13",2016
Fire and Rescue Services,"98,330.42",2016
Community Services,"100,716.17",2016
Fire and Rescue Services,"112,457.61",2016
"Planning, Urban Des & Sustain","114,572.54",2016
Fire and Rescue Services,"106,854.26",2016
Engineering Services,"94,337.32",2016
Fire and Rescue Services,"96,897.40",2016
Fire and Rescue Services,"92,893.94",2016
"Dev Svcs, Bldg & Licensing","105,345.74",2016
Human Resources,"110,953.72",2016
Engineering Services,"168,993.98",2016
Fire and Rescue Services,"91,368.41",2016
"Finance, Risk & Supply Chain Mgt","115,387.38",2016
City Clerk's Office,"90,988.18",2016
Fire and Rescue Services,"110,676.71",2016
Community Services,"109,105.28",2016
Engineering Services,"81,981.25",2016
"Planning, Urban Des & Sustain","88,175.73",2016
Community Services,"109,960.59",2016
Real Estate & Facilities Mgmt,"103,337.51",2016
Fire and Rescue Services,"78,020.79",2016
Fire and Rescue Services,"99,249.74",2016
Community Services,"124,809.18",2016
Community Services,"80,461.55",2016
Engineering Services,"112,254.09",2016
"Finance, Risk & Supply Chain Mgt","75,499.82",2016
Community Services,"91,306.55",2016
"IT, Digital Strategy & 311","75,113.49",2016
"Dev Svcs, Bldg & Licensing","115,744.26",2016
"Dev Svcs, Bldg & Licensing","89,233.88",2016
Real Estate & Facilities Mgmt,"88,443.49",2016
"Finance, Risk & Supply Chain Mgt","110,270.22",2016
"IT, Digital Strategy & 311","123,511.65",2016
Fire and Rescue Services,"114,991.61",2016
Fire and Rescue Services,"99,851.51",2016
Fire and Rescue Services,"95,260.39",2016
Fire and Rescue Services,"97,512.42",2016
Fire and Rescue Services,"97,800.11",2016
Human Resources,"133,549.26",2016
Fire and Rescue Services,"103,992.03",2016
Fire and Rescue Services,"117,708.00",2016
Fire and Rescue Services,"97,192.10",2016
Human Resources,"104,563.84",2016
Fire and Rescue Services,"86,754.80",2016
Fire and Rescue Services,"134,074.05",2016
Office of the City Manager,"96,390.82",2016
Engineering Services,"93,283.07",2016
Engineering Services,"77,340.65",2016
Fire and Rescue Services,"96,832.04",2016
"IT, Digital Strategy & 311","123,511.66",2016
Fire and Rescue Services,"92,032.49",2016
Board of Parks & Recreation,"162,223.57",2016
Real Estate & Facilities Mgmt,"114,977.19",2016
Board of Parks & Recreation,"75,424.48",2016
Board of Parks & Recreation,"79,086.38",2016
Engineering Services,"122,548.40",2016
"Finance, Risk & Supply Chain Mgt","87,825.53",2016
Fire and Rescue Services,"112,790.42",2016
Fire and Rescue Services,"115,510.46",2016
Vancouver Public Library Board,"77,769.64",2016
Board of Parks & Recreation,"100,521.84",2016
Board of Parks & Recreation,"85,578.07",2016
Law Department,"181,559.50",2016
Fire and Rescue Services,"99,216.97",2016
Human Resources,"133,584.91",2016
Fire and Rescue Services,"116,269.20",2016
Engineering Services,"80,109.03",2016
Fire and Rescue Services,"97,888.53",2016
"IT, Digital Strategy & 311","86,147.57",2016
Fire and Rescue Services,"87,569.77",2016
"Planning, Urban Des & Sustain","81,710.49",2016
Engineering Services,"94,326.38",2016
Engineering Services,"90,784.80",2016
Community Services,"100,636.54",2016
"IT, Digital Strategy & 311","89,303.49",2016
Fire and Rescue Services,"99,127.10",2016
Fire and Rescue Services,"85,753.38",2016
Human Resources,"87,208.96",2016
Real Estate & Facilities Mgmt,"110,766.82",2016
Vancouver Public Library Board,"109,124.07",2016
"Planning, Urban Des & Sustain","85,936.70",2016
Fire and Rescue Services,"108,475.43",2016
"Planning, Urban Des & Sustain","98,731.33",2016
Engineering Services,"82,315.46",2016
Fire and Rescue Services,"75,551.77",2016
"Dev Svcs, Bldg & Licensing","85,204.52",2016
Engineering Services,"110,383.47",2016
Engineering Services,"88,457.76",2016
Engineering Services,"83,337.26",2016
Board of Parks & Recreation,"82,649.37",2016
Engineering Services,"94,539.57",2016
Engineering Services,"78,662.27",2016
Engineering Services,"143,943.39",2016
Fire and Rescue Services,"91,749.65",2016
"Dev Svcs, Bldg & Licensing","92,060.40",2016
"Planning, Urban Des & Sustain","135,072.98",2016
Fire and Rescue Services,"81,867.15",2016
Engineering Services,"92,939.16",2016
Engineering Services,"90,716.74",2016
Engineering Services,"75,923.26",2016
Human Resources,"110,784.16",2016
Fire and Rescue Services,"85,552.95",2016
Engineering Services,"102,216.15",2016
Engineering Services,"116,276.29",2016
"Dev Svcs, Bldg & Licensing","79,161.82",2016
Fire and Rescue Services,"130,626.27",2016
Fire and Rescue Services,"92,904.10",2016
"IT, Digital Strategy & 311","103,307.95",2016
Engineering Services,"79,352.23",2016
Engineering Services,"89,135.55",2016
"Planning, Urban Des & Sustain","109,582.08",2016
Fire and Rescue Services,"75,650.60",2016
Engineering Services,"105,829.79",2016
Engineering Services,"84,651.63",2016
Engineering Services,"91,100.60",2016
Engineering Services,"85,524.74",2016
Fire and Rescue Services,"93,885.46",2016
Engineering Services,"90,297.49",2016
Board of Parks & Recreation,"81,879.24",2016
Engineering Services,"84,344.63",2016
Fire and Rescue Services,"122,703.84",2016
Engineering Services,"83,866.72",2016
Fire and Rescue Services,"102,263.94",2016
"Finance, Risk & Supply Chain Mgt","78,546.23",2016
Vancouver Public Library Board,"103,914.79",2016
Fire and Rescue Services,"118,260.77",2016
Engineering Services,"99,730.91",2016
Community Services,"85,693.40",2016
Community Services,"102,709.14",2016
"Planning, Urban Des & Sustain","135,336.30",2016
Fire and Rescue Services,"88,993.94",2016
Board of Parks & Recreation,"79,643.23",2016
"Dev Svcs, Bldg & Licensing","85,854.14",2016
Fire and Rescue Services,"77,305.81",2016
"Finance, Risk & Supply Chain Mgt","142,648.14",2016
Fire and Rescue Services,"93,672.92",2016
Fire and Rescue Services,"90,982.56",2016
Fire and Rescue Services,"112,078.80",2016
Engineering Services,"76,868.11",2016
Engineering Services,"84,184.52",2016
Fire and Rescue Services,"95,423.90",2016
"Planning, Urban Des & Sustain","96,786.44",2016
Fire and Rescue Services,"100,090.08",2016
Fire and Rescue Services,"82,572.97",2016
Fire and Rescue Services,"109,310.50",2016
Engineering Services,"91,704.84",2016
Engineering Services,"75,664.82",2016
Board of Parks & Recreation,"124,304.45",2016
Fire and Rescue Services,"109,926.79",2016
Engineering Services,"75,644.71",2016
"IT, Digital Strategy & 311","100,624.28",2016
Fire and Rescue Services,"95,955.54",2016
Engineering Services,"93,743.40",2016
Engineering Services,"80,973.76",2016
Fire and Rescue Services,"112,562.49",2016
Community Services,"90,306.59",2016
Fire and Rescue Services,"97,235.85",2016
Fire and Rescue Services,"100,516.94",2016
"IT, Digital Strategy & 311","123,949.16",2016
Engineering Services,"84,470.99",2016
"Dev Svcs, Bldg & Licensing","92,062.62",2016
Office of the City Manager,"96,042.33",2016
"Finance, Risk & Supply Chain Mgt","123,048.18",2016
"Planning, Urban Des & Sustain","184,177.82",2016
Community Services,"79,584.37",2016
Fire and Rescue Services,"104,396.44",2016
Fire and Rescue Services,"90,608.60",2016
Board of Parks & Recreation,"79,660.90",2016
Fire and Rescue Services,"96,518.50",2016
Fire and Rescue Services,"95,745.22",2016
Fire and Rescue Services,"96,574.74",2016
Vancouver Public Library Board,"116,988.06",2016
Office of the City Manager,"82,526.04",2016
Vancouver Public Library Board,"132,887.63",2016
Engineering Services,"82,653.99",2016
Engineering Services,"76,576.70",2016
Fire and Rescue Services,"93,600.54",2016
Fire and Rescue Services,"105,722.03",2016
"Finance, Risk & Supply Chain Mgt","99,654.39",2016
Engineering Services,"77,196.13",2016
Real Estate & Facilities Mgmt,"78,062.06",2016
"Finance, Risk & Supply Chain Mgt","116,175.99",2016
Engineering Services,"80,990.03",2016
"Planning, Urban Des & Sustain","102,004.62",2016
Engineering Services,"95,835.78",2016
"IT, Digital Strategy & 311","98,005.22",2016
Engineering Services,"89,160.91",2016
Office of the City Manager,"116,616.46",2016
Fire and Rescue Services,"115,342.77",2016
"Planning, Urban Des & Sustain","105,270.46",2016
Board of Parks & Recreation,"124,431.96",2016
Fire and Rescue Services,"88,846.22",2016
Fire and Rescue Services,"89,049.16",2016
Fire and Rescue Services,"97,438.46",2016
Fire and Rescue Services,"96,082.86",2016
